timestamp,TimeUS,Th0,UR,UP,UY
1746304127.57500005,59728647,0.33481600880622864,-0.10481076687574387,-0.0007778056315146387,2.1351823306758888e-05
1746304127.57800007,59731647,0.33482375741004944,-0.07933764904737473,-0.0008141630096361041,4.580815584631637e-05
1746304127.58000016,59733647,0.33486703038215637,-0.05582546442747116,-0.0008373010787181556,5.7516917877364904e-05
1746304127.58299994,59736647,0.3349608778953552,-0.016856979578733444,-0.0008571610087528825,6.002435111440718e-05
1746304127.58500004,59738647,0.33503562211990356,0.011936252936720848,-0.000921325758099556,5.672731640515849e-05
1746304127.58800006,59741647,0.3351437747478485,0.05173129215836525,-0.0009636768372729421,4.5386455894913524e-05
1746304127.59000015,59743647,0.33519890904426575,0.07560785114765167,-0.0009614696609787643,3.6782359529752284e-05
1746304127.59299994,59746647,0.3352592885494232,0.10164179652929306,-0.0009644110687077045,2.451799991831649e-05
1746304127.59500003,59748647,0.33528104424476624,0.11217591911554337,-0.0009235159959644079,1.775636883394327e-05
1746304127.59800005,59751647,0.33530232310295105,0.11583928018808365,-0.0009160948102362454,1.2661152140935883e-05
1746304127.60000014,59753647,0.33531928062438965,0.11001309007406235,-0.0009038182906806469,1.207837885885965e-05
1746304127.60300016,59756647,0.33535611629486084,0.09087938815355301,-0.0008535909582860768,1.802055339794606e-05
1746304127.60500002,59758647,0.33539968729019165,0.07072003930807114,-0.0008336619939655066,2.522471004340332e-05
1746304127.60800004,59761647,0.33548012375831604,0.03478056564927101,-0.0008292810525745153,4.5984234020579606e-05
1746304127.61000013,59763647,0.3355366289615631,0.006485256366431713,-0.0007240692502819002,6.534143176395446e-05
1746304127.61300015,59766647,0.33560824394226074,-0.03493864834308624,-0.0007107399869710207,9.967190271709114e-05
1746304127.61500001,59768647,0.33562690019607544,-0.06162489578127861,-0.0007378584123216569,0.00012181652709841728
1746304127.61800003,59771647,0.3356207311153412,-0.09358369559049606,-0.0006831352366134524,0.00014921894762665033
1746304127.62000012,59773647,0.33558470010757446,-0.1093255877494812,-0.0006315788486972451,0.00016370620869565755
1746304127.62300014,59776647,0.3355098366737366,-0.12080234289169312,-0.0006261729868128896,0.00017541401030030102
1746304127.62500000,59778647,0.3354564905166626,-0.12038730829954147,-0.0005192662356421351,0.0001787698274711147
1746304127.62800002,59781647,0.33538949489593506,-0.10833578556776047,-0.00038033758755773306,0.0001813046692404896
1746304127.63000011,59783647,0.3353734314441681,-0.09232939779758453,-0.00030612043337896466,0.0001848222455009818
1746304127.63300014,59786647,0.33538389205932617,-0.060867633670568466,-0.0002452463377267122,0.00019141875964123756
1746304127.63499999,59788647,0.33542200922966003,-0.03432876989245415,-0.00021840829867869616,0.00019388855434954166
1746304127.63800001,59791647,0.33549636602401733,0.007030746899545193,-0.00021580717293545604,0.00019330564828123897
1746304127.64000010,59793647,0.33554357290267944,0.03570595756173134,-0.00018570799147710204,0.0001910506107378751
1746304127.64300013,59796647,0.3355996608734131,0.07264552265405655,-0.00023074157070368528,0.00018372383783571422
1746304127.64499998,59798647,0.3356153666973114,0.09319419413805008,-0.0003005439939443022,0.00017732864944264293
1746304127.64800000,59801647,0.33561885356903076,0.11267594993114471,-0.0004066282126586884,0.00016535512986592948
1746304127.65000010,59803647,0.3356107473373413,0.11811182647943497,-0.00046777690295130014,0.0001566330756759271
1746304127.65300012,59806647,0.33559903502464294,0.11423930525779724,-0.0005807947600260377,0.00014265529171098024
1746304127.65499997,59808647,0.33560606837272644,0.10330409556627274,-0.0006388277397491038,0.00013329759531188756
1746304127.65799999,59811647,0.33563822507858276,0.0776866152882576,-0.0007465348462574184,0.00011974391964031383
1746304127.66000009,59813647,0.3356833755970001,0.053993579000234604,-0.0008428932051174343,0.0001111623496399261
1746304127.66300011,59816647,0.33576536178588867,0.014557667076587677,-0.0009938824223354459,9.811679774429649e-05
1746304127.66499996,59818647,0.33581697940826416,-0.01476161740720272,-0.000980642274953425,8.612425881437957e-05
1746304127.66799998,59821647,0.3358764052391052,-0.05519925802946091,-0.0010739897843450308,5.643260374199599e-05
1746304127.67000008,59823647,0.33588558435440063,-0.07978666573762894,-0.0011445606360211968,3.057537105632946e-05
1746304127.67300010,59826647,0.3358674645423889,-0.10697714984416962,-0.0011415344197303057,-2.1395304429461248e-05
1746304127.67499995,59828647,0.3358302414417267,-0.11823487281799316,-0.0011521679116412997,-6.139501056168228e-05
1746304127.67799997,59831647,0.3357628285884857,-0.12286551296710968,-0.0010874763829633594,-0.00013101057265885174
1746304127.68000007,59833647,0.3357252776622772,-0.11754755675792694,-0.0010368728544563055,-0.00018075470870826393
1746304127.68300009,59836647,0.33569109439849854,-0.09894215315580368,-0.0010213401401415467,-0.0002608381037134677
1746304127.68499994,59838647,0.33570238947868347,-0.07907810062170029,-0.001027535879984498,-0.00031605028198100626
1746304127.68799996,59841647,0.3357534408569336,-0.04325738921761513,-0.0010035461746156216,-0.00039896686212159693
1746304127.69000006,59843647,0.3358113467693329,-0.014879483729600906,-0.0009452217491343617,-0.00044876860920339823
1746304127.69300008,59846647,0.3359048068523407,0.02702547423541546,-0.0008739795885048807,-0.0004970054724253714
1746304127.69500017,59848647,0.33595454692840576,0.05442062020301819,-0.0008895074715837836,-0.0005140181165188551
1746304127.69799995,59851647,0.3360063135623932,0.08756411075592041,-0.0009515050332993269,-0.0005023455596528947
1746304127.70000005,59853647,0.3360154330730438,0.10424275696277618,-0.0009391582570970058,-0.0004755891568493098
1746304127.70300007,59856647,0.3360089659690857,0.11736410111188889,-0.0009150092955678701,-0.0003985511139035225
1746304127.70500016,59858647,0.3359973728656769,0.11799974739551544,-0.0009291124297305942,-0.0003315116045996547
1746304127.70799994,59861647,0.3359844386577606,0.10731876641511917,-0.0009200600325129926,-0.00020152688375674188
1746304127.71000004,59863647,0.3359932601451874,0.09199973940849304,-0.0009302936960011721,-0.00010724775347625837
1746304127.71300006,59866647,0.3360275626182556,0.06040308251976967,-0.0009350137552246451,4.0421342418994755e-05
1746304127.71500015,59868647,0.3360656201839447,0.033510759472846985,-0.0009686887497082353,0.0001376593136228621
1746304127.71799994,59871647,0.3361227512359619,-0.008193746209144592,-0.0009656334877945483,0.000267297204118222
1746304127.72000003,59873647,0.3361406922340393,-0.03719748929142952,-0.0009768714662641287,0.00034214023617096245
1746304127.72300005,59876647,0.33613768219947815,-0.07475708425045013,-0.001067998819053173,0.00042506062891334295
1746304127.72500014,59878647,0.33610111474990845,-0.09596974402666092,-0.0010018614120781422,0.0004671005008276552
1746304127.72800016,59881647,0.3360189199447632,-0.11654104292392731,-0.00095349334878847,0.000497187371365726
